name,color,type,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER
Abacate Avocado,green,FRUIT,low,low,low,low,medium,medium,high,high,high,high,high,low
Abacate Breda,green,FRUIT,low,low,low,low,low,low,low,medium,high,high,high,medium
Abacate Fortuna,green,FRUIT,low,low,high,high,high,high,high,medium,low,low,low,low
Abacate Geada,green,FRUIT,high,high,low,low,low,low,low,low,low,low,low,low
Abacate Margarida,green,FRUIT,low,low,low,low,low,medium,medium,medium,high,high,high,high
Abacate Quintal,green,FRUIT,low,low,medium,high,high,high,high,medium,low,low,low,low
Abacaxi Havai,yellow,FRUIT,medium,low,low,low,low,high,low,low,low,low,low,medium
Abacaxi Pérola,yellow,FRUIT,medium,low,medium,low,low,low,low,low,medium,medium,high,high
Abiu,yellow,FRUIT,high,low,low,medium,low,low,low,low,medium,low,medium,medium
Acerola,red,FRUIT,high,high,high,high,medium,low,low,low,medium,high,high,high
Ameixa Nacional,purple,FRUIT,medium,medium,low,low,low,low,low,low,low,low,medium,high
Amora,purple,FRUIT,low,low,low,low,low,low,low,medium,high,medium,high,high
Atemoia,green,FRUIT,low,low,low,medium,high,high,high,high,medium,low,low,low
Avelã,brown,FRUIT,low,low,low,low,low,low,low,high,medium,low,low,low
Banana Maçã,yellow,FRUIT,medium,medium,low,low,low,low,medium,high,high,high,high,medium
Banana Nanica,yellow,FRUIT,medium,medium,medium,low,high,low,low,medium,low,medium,medium,low
Banana Ouro,yellow,FRUIT,high,high,low,low,low,medium,high,low,low,medium,medium,high
Banana Prata MG,yellow,FRUIT,low,low,medium,medium,medium,medium,high,medium,medium,high,high,medium
Banana Prata SP,yellow,FRUIT,medium,medium,high,low,low,low,medium,high,high,low,medium,low
Banana Terra,yellow,FRUIT,high,low,medium,low,low,low,low,medium,medium,medium,high,high
Cacau,brown,FRUIT,low,low,high,low,low,low,low,low,low,low,low,low
Caju,red,FRUIT,high,low,low,low,low,low,low,low,medium,high,low,medium
Caqui Chocolate Kyoto,orange,FRUIT,low,medium,medium,high,high,medium,medium,low,low,low,low,low
Caqui Fuyu,orange,FRUIT,low,low,high,high,high,high,medium,low,low,low,low,low
Caqui Giombo,orange,FRUIT,low,low,medium,high,high,high,low,low,low,low,low,low
Caqui Rama Forte,orange,FRUIT,low,low,high,high,high,medium,low,low,low,low,low,low
Carambola,yellow,FRUIT,high,high,high,medium,medium,high,high,high,low,low,low,medium
Castanha Nacional,brown,FRUIT,medium,low,low,low,low,medium,low,low,medium,high,medium,high
Coco Verde,brown,FRUIT,high,medium,medium,low,low,low,low,low,medium,medium,high,high
Cupuaçu,brown,FRUIT,high,high,high,high,high,high,high,high,high,high,low,low
Embu,green,FRUIT,high,high,low,low,low,low,low,low,low,low,low,low
Figo,purple,FRUIT,high,high,high,high,medium,medium,low,low,low,low,low,high
Framboesa,red,FRUIT,medium,medium,high,low,low,low,low,low,low,low,low,low
Goiaba,green,FRUIT,medium,high,high,medium,low,low,low,low,low,low,low,low
Grapefruit,orange,FRUIT,low,low,medium,low,low,low,low,low,low,low,high,medium
Graviola,green,FRUIT,medium,low,low,low,high,low,low,low,low,high,high,low
Jabuticaba,purple,FRUIT,low,low,low,low,low,low,low,high,medium,high,low,low
Jaca,green,FRUIT,high,high,high,high,medium,low,low,low,low,medium,high,high
Jambo,red,FRUIT,high,low,low,low,low,low,low,low,medium,medium,high,medium
Jatobá,brown,FRUIT,low,low,medium,low,low,low,low,high,high,low,low,low
Jenipapo,brown,FRUIT,high,low,low,low,medium,low,low,medium,low,low,low,low
Kiwi Nacional,brown,FRUIT,low,low,medium,high,high,high,medium,low,low,low,low,low
Laranja Baia,orange,FRUIT,low,low,low,low,medium,medium,high,high,high,medium,low,low
Laranja Lima,orange,FRUIT,high,low,low,low,low,low,high,high,high,high,high,low
Laranja Pera,orange,FRUIT,high,medium,medium,low,low,low,low,medium,medium,medium,medium,medium
Laranja Seleta,orange,FRUIT,medium,medium,high,high,high,high,high,medium,low,low,low,low
