name,name_formatted
Abacate Avocado,abacate avocado
Abacate Breda,abacate breda
Abacate Fortuna,abacate fortuna
Abacate Geada,abacate geada
Abacate Margarida,abacate margarida
Abacate Quintal,abacate quintal
Abacaxi Havai,abacaxi havai
Abacaxi Pérola,abacaxi perola
Abiu,abiu
Abóbora D´Agua,abobora d'agua
Abóbora Japonesa,abobora japonesa
Abóbora Moranga,abobora moranga
Abóbora Paulista,abobora paulista
Abóbora Seca,abobora seca
Abobrinha Brasileira,abobrinha brasileira
Abobrinha Italiana,abobrinha italiana
Acelga,acelga
Acelga Chinesa,acelga chinesa
Acerola,acerola
Agrião,agriao
Agrião Hidropônico,agriao hidroponico
Alcachofra,alcachofra
Alecrim,alecrim
Alface Americana,alface americana
Alface Crespa,alface crespa
Alface Crespa Hidropônica,alface crespa hidroponica
Alface Lisa,alface lisa
Alface Lisa Hidropônica,alface lisa hidroponica
Alface Mimosa,alface mimosa
Alface Mimosa Hidropônica,alface mimosa hidroponica
Alface Romana,alface romana
Alface Romana Hidropônica,alface romana hidroponica
Alfavaca,alfavaca
Alho Nacional,alho nacional
Alho Porro,alho porro
Almeirão,almeirao
Almeirão Hidropônico,almeirao hidroponico
Almeirão Pão de Açucar,almeirao pao de acucar
Ameixa Nacional,ameixa nacional
Amendoim com Casca,amendoim com casca
Amendoim sem Casca,amendoim sem casca
Amora,amora
Aspargo,aspargo
Atemoia,atemoia
Avelã,avela
Banana Maçã,banana maca
Banana Nanica,banana nanica
Banana Ouro,banana ouro
Banana Prata MG,banana prata mg
Banana Prata SP,banana prata sp
Banana Terra,banana terra
Batata Asterix,batata asterix
Batata Doce Amarela,batata doce amarela
Batata Doce Branca,batata doce branca
Batata Doce Rosada,batata doce rosada
Batata Doce Roxa,batata doce roxa
Batata Lavada,batata lavada
Batata Yakon,batata yakon
Berinjela Comum,berinjela comum
Berinjela Japonesa,berinjela japonesa
Beterraba,beterraba
Beterraba com Folhas,beterraba com folhas
Brócolis Ninja,brocolis ninja
Brócolis Ramoso,brocolis ramoso
Broto de Alfafa,broto de alfafa
Cacau,cacau
Caju,caju
Capim Cidreira,capim cidreira
Caqui Chocolate Kyoto,caqui chocolate kyoto
Caqui Fuyu,caqui fuyu
Caqui Giombo,caqui giombo
Caqui Rama Forte,caqui rama forte
Cará,cara
Carambola,carambola
Castanha Nacional,castanha nacional
Catalonha,catalonha
Cebola Nacional,cebola nacional
Cebola Pérola,cebola perola
Cebola Roxa,cebola roxa
Cebolete,cebolete
Cebolinha,cebolinha
Cenoura,cenoura
Cenoura com Folhas,cenoura com folhas
Chicória,chicoria
Chuchu,chuchu
Coco Seco,coco seco
Coco Verde,coco verde
Coentro,coentro
Cogumelo Eryngui,cogumelo eryngui
Cogumelo Hiratake,cogumelo hiratake
Cogumelo Paris,cogumelo paris
Cogumelo Porto Belo,cogumelo porto belo
Cogumelo Shimeji,cogumelo shimeji
Cogumelo Shitake,cogumelo shitake
Couve de Bruxelas,couve de bruxelas
Couve Manteiga,couve manteiga
Couve-Flor,couve-flor
Cupuaçu,cupuacu
Embu,embu
Endívia,endivia
Endro,endro
Erva Doce,erva doce
Ervilha Torta,ervilha torta
Escarola,escarola
Escarola Hidropônica,escarola hidroponica
Espinafre,espinafre
Espinafre Hidropônico,espinafre hidroponico
Estragão,estragao
Feijão de Corda,feijao de corda
Figo,figo
Framboesa,framboesa
Gengibre,gengibre
Gengibre com Folhas,gengibre com folhas
Gobô,gobo
Goiaba,goiaba
Grapefruit,grapefruit
Graviola,graviola
Hana Nira,hana nira
Hortelã,hortela
Inhame,inhame
Jabuticaba,jabuticaba
Jaca,jaca
Jambo,jambo
Jatobá,jatoba
Jenipapo,jenipapo
Jiló,jilo
Kiwi Nacional,kiwi nacional
Lakio,lakio
Laranja Baia,laranja baia
Laranja Lima,laranja lima
Laranja Pera,laranja pera
Laranja Seleta,laranja seleta
Laranja Valência,laranja valencia
Lenkon,lenkon
Lichia,lichia
Lima Pérsia,lima persia
Limão Galego,limao galego
Limão Rosa,limao rosa
Limão Siciliano,limao siciliano
Limão Taiti,limao taiti
Longan,longan
Louro,louro
Maçã Eva,maca eva
Maçã Fuji,maca fuji
Maçã Gala,maca gala
Maçã Golden Del,maca golden del
Mamão Formosa,mamao formosa
Mamão Havaí,mamao havai
Mandioca,mandioca
Mandioquinha,mandioquinha
Manga Bourbon,manga bourbon
Manga Coquinho,manga coquinho
Manga Espada,manga espada
Manga Haden,manga haden
Manga Keity,manga keity
Manga Lolita,manga lolita
Manga Palmer,manga palmer
Manga Rosa,manga rosa
Manga Shelly,manga shelly
Manga Tommy,manga tommy
Mangostim,mangostim
Manjericão,manjericao
Manjerona,manjerona
Maracujá Azedo,maracuja azedo
Maracujá Doce,maracuja doce
Maxixe,maxixe
Melancia,melancia
Melancia Baby,melancia baby
Melão Amarelo,melao amarelo
Melão Gália,melao galia
Melão Net Melon,melao net melon
Melão Orange,melao orange
Melão Pele de Sapo,melao pele de sapo
Mexerica Rio,mexerica rio
Milho Verde,milho verde
Mirtilo,mirtilo
Miyoga,miyoga
Morango Comum,morango comum
Mostarda,mostarda
Mostarda Hidropônica,mostarda hidroponica
Moyashi,moyashi
Nabo,nabo
Nectarina Nacional,nectarina nacional
Nêspera,nespera
Nigagori,nigagori
Nozes Pecan,nozes pecan
Orégano,oregano
Palmito Pupunha,palmito pupunha
Pepino Caipira,pepino caipira
Pepino Comum,pepino comum
Pepino Japonês,pepino japones
Pera Nacional,pera nacional
Pêssego Aurora,pessego aurora
Pêssego Chimarrita,pessego chimarrita
Pêssego Dourado,pessego dourado
Pêssego Eragil,pessego eragil
Pêssego Fascinio,pessego fascinio
Pêssego Kampai,pessego kampai
Pêssego Nacional,pessego nacional
Pêssego Rubimel,pessego rubimel
Pêssego Tropic Beauty,pessego tropic beauty
Pêssego Xiripa,pessego xiripa
Physalis,physalis
Pimenta Cambuci,pimenta cambuci
Pimenta Dedo de Moça,pimenta dedo de moca
Pimenta Malagueta/Malaguetão,pimenta malagueta/malaguetao
Pimenta Verde,pimenta verde
Pimenta Verde Americana,pimenta verde americana
Pimentão Amarelo,pimentao amarelo
Pimentão Verde,pimentao verde
Pimentão Vermelho,pimentao vermelho
Pinha,pinha
Pinhão,pinhao
Pitaia,pitaia
Pitanga,pitanga
Quiabo,quiabo
Quincam,quincam
Rabanete,rabanete
Radicchio,radicchio
Rambutã,rambuta
Repolho Roxo,repolho roxo
Repolho Verde Liso,repolho verde liso
Romã,roma
Rúcula,rucula
Rúcula Hidropônica,rucula hidroponica
Salsa,salsa
Salsão Branco/Verde,salsao branco/verde
Sálvia,salvia
Sapoti,sapoti
Seriguela,seriguela
Tamarillo,tamarillo
Tangerina Cravo,tangerina cravo
Tangerina Decopom,tangerina decopom
Tangerina Murcote,tangerina murcote
Tangerina Ole,tangerina ole
Tangerina Poncã,tangerina ponca
Taquenoco,taquenoco
Tomate Caqui,tomate caqui
Tomate Carmem,tomate carmem
Tomate Cereja,tomate cereja
Tomate Debora,tomate debora
Tomate Holandês,tomate holandes
Tomate Italiano (Pizzadoro),tomate italiano (pizzadoro)
Tomate Rasteiro,tomate rasteiro
Tomate Sweet Grape,tomate sweet grape
Tomilho,tomilho
Ume,ume
Uva Arra 15,uva arra 15
Uva Benitaka,uva benitaka
Uva Brasil,uva brasil
Uva Centenial,uva centenial
Uva Crinsom,uva crinsom
Uva Isabel,uva isabel
Uva Isis,uva isis
Uva Italia,uva italia
Uva Melodia,uva melodia
Uva Niagara,uva niagara
Uva Red Globe,uva red globe
Uva Rubi,uva rubi
Uva Thompson,uva thompson
Uva Vitoria,uva vitoria
Vagem Macarrão,vagem macarrao
Vagem Manteiga,vagem manteiga
Vagem Metro,vagem metro
